frame,n_molecules,n_aggregates,largest_aggregate,C8,C10,C12,sizes_sorted
1,30,8,13,11,6,9,13 6 5 2 1 1 1 1
2,30,7,13,10,6,11,13 7 5 2 1 1 1
3,30,6,13,11,5,10,13 13 1 1 1 1
4,30,5,15,11,6,10,15 12 1 1 1
5,30,5,14,11,6,10,14 13 1 1 1
6,30,6,14,9,6,12,14 11 2 1 1 1
7,30,5,15,11,5,12,15 9 4 1 1
8,30,3,15,12,6,12,15 9 6
9,30,2,15,12,6,12,15 15
10,30,5,14,10,6,11,14 13 1 1 1
11,30,3,15,12,6,11,15 14 1
12,30,4,27,10,6,11,27 1 1 1
13,30,3,28,10,6,12,28 1 1
14,30,3,28,10,6,12,28 1 1
15,30,3,28,10,6,12,28 1 1
16,30,2,29,11,6,12,29 1
17,30,2,29,11,6,12,29 1
18,30,2,29,11,6,12,29 1
19,30,2,29,11,6,12,29 1
20,30,2,29,11,6,12,29 1
21,30,2,29,11,6,12,29 1
22,30,2,29,11,6,12,29 1
23,30,1,30,12,6,12,30
24,30,1,30,12,6,12,30
25,30,1,30,12,6,12,30
26,30,1,30,12,6,12,30
27,30,2,29,11,6,12,29 1
28,30,2,29,11,6,12,29 1
29,30,1,30,12,6,12,30
30,30,1,30,12,6,12,30
31,30,1,30,12,6,12,30
32,30,1,30,12,6,12,30
33,30,1,30,12,6,12,30
34,30,1,30,12,6,12,30
35,30,1,30,12,6,12,30
36,30,1,30,12,6,12,30
37,30,1,30,12,6,12,30
38,30,1,30,12,6,12,30
39,30,1,30,12,6,12,30
40,30,1,30,12,6,12,30
41,30,1,30,12,6,12,30
42,30,1,30,12,6,12,30
43,30,1,30,12,6,12,30
44,30,2,29,11,6,12,29 1
45,30,2,29,11,6,12,29 1
46,30,1,30,12,6,12,30
47,30,2,29,11,6,12,29 1
48,30,2,29,11,6,12,29 1
49,30,2,29,11,6,12,29 1
50,30,2,29,11,6,12,29 1
51,30,1,30,12,6,12,30
52,30,1,30,12,6,12,30
53,30,1,30,12,6,12,30
54,30,1,30,12,6,12,30
55,30,1,30,12,6,12,30
56,30,1,30,12,6,12,30
57,30,2,29,11,6,12,29 1
58,30,2,29,11,6,12,29 1
59,30,2,29,11,6,12,29 1
60,30,2,29,11,6,12,29 1
61,30,2,29,11,6,12,29 1
62,30,1,30,12,6,12,30
63,30,1,30,12,6,12,30
64,30,1,30,12,6,12,30
65,30,1,30,12,6,12,30
66,30,1,30,12,6,12,30
67,30,1,30,12,6,12,30
68,30,1,30,12,6,12,30
69,30,2,29,11,6,12,29 1
70,30,2,29,11,6,12,29 1
71,30,1,30,12,6,12,30
72,30,1,30,12,6,12,30
73,30,1,30,12,6,12,30
74,30,1,30,12,6,12,30
75,30,1,30,12,6,12,30
76,30,2,29,12,6,11,29 1
77,30,2,29,12,6,11,29 1
78,30,2,29,12,6,11,29 1
79,30,1,30,12,6,12,30
80,30,1,30,12,6,12,30
81,30,1,30,12,6,12,30
82,30,1,30,12,6,12,30
83,30,1,30,12,6,12,30
84,30,1,30,12,6,12,30
85,30,1,30,12,6,12,30
86,30,1,30,12,6,12,30
87,30,1,30,12,6,12,30
88,30,1,30,12,6,12,30
89,30,1,30,12,6,12,30
90,30,1,30,12,6,12,30
91,30,1,30,12,6,12,30
92,30,1,30,12,6,12,30
93,30,1,30,12,6,12,30
94,30,1,30,12,6,12,30
95,30,1,30,12,6,12,30
96,30,1,30,12,6,12,30
97,30,1,30,12,6,12,30
98,30,1,30,12,6,12,30
99,30,2,29,11,6,12,29 1
100,30,2,29,11,6,12,29 1
101,30,1,30,12,6,12,30
