frame,n_molecules,n_aggregates,largest_aggregate,C8,C10,C12,sizes_sorted
1,30,6,20,10,11,5,20 6 1 1 1 1
2,30,7,19,10,10,5,19 6 1 1 1 1 1
3,30,5,22,11,12,5,22 3 3 1 1
4,30,3,25,11,12,6,25 4 1
5,30,5,25,10,12,5,25 2 1 1 1
6,30,4,26,11,11,6,26 2 1 1
7,30,2,27,12,12,6,27 3
8,30,2,27,12,12,6,27 3
9,30,3,27,12,11,6,27 2 1
10,30,3,28,12,12,4,28 1 1
11,30,2,29,12,12,5,29 1
12,30,3,28,12,12,4,28 1 1
13,30,2,29,12,12,5,29 1
14,30,2,29,12,12,5,29 1
15,30,2,29,12,12,5,29 1
16,30,2,29,12,12,5,29 1
17,30,2,29,12,12,5,29 1
18,30,2,29,12,12,5,29 1
19,30,1,30,12,12,6,30
20,30,2,29,12,12,5,29 1
21,30,2,29,12,12,5,29 1
22,30,1,30,12,12,6,30
23,30,1,30,12,12,6,30
24,30,1,30,12,12,6,30
25,30,1,30,12,12,6,30
26,30,1,30,12,12,6,30
27,30,1,30,12,12,6,30
28,30,1,30,12,12,6,30
29,30,1,30,12,12,6,30
30,30,1,30,12,12,6,30
31,30,1,30,12,12,6,30
32,30,1,30,12,12,6,30
33,30,1,30,12,12,6,30
34,30,1,30,12,12,6,30
35,30,1,30,12,12,6,30
36,30,2,29,11,12,6,29 1
37,30,2,29,11,12,6,29 1
38,30,1,30,12,12,6,30
39,30,1,30,12,12,6,30
40,30,1,30,12,12,6,30
41,30,1,30,12,12,6,30
42,30,1,30,12,12,6,30
43,30,1,30,12,12,6,30
44,30,1,30,12,12,6,30
45,30,3,28,11,11,6,28 1 1
46,30,2,29,12,11,6,29 1
47,30,2,29,12,11,6,29 1
48,30,2,29,12,11,6,29 1
49,30,2,29,12,11,6,29 1
50,30,2,29,12,11,6,29 1
51,30,1,30,12,12,6,30
52,30,1,30,12,12,6,30
53,30,1,30,12,12,6,30
54,30,1,30,12,12,6,30
55,30,2,29,11,12,6,29 1
56,30,1,30,12,12,6,30
57,30,1,30,12,12,6,30
58,30,1,30,12,12,6,30
59,30,1,30,12,12,6,30
60,30,1,30,12,12,6,30
61,30,1,30,12,12,6,30
62,30,1,30,12,12,6,30
63,30,1,30,12,12,6,30
64,30,1,30,12,12,6,30
65,30,1,30,12,12,6,30
66,30,1,30,12,12,6,30
67,30,1,30,12,12,6,30
68,30,1,30,12,12,6,30
69,30,1,30,12,12,6,30
70,30,1,30,12,12,6,30
71,30,1,30,12,12,6,30
72,30,1,30,12,12,6,30
73,30,1,30,12,12,6,30
74,30,1,30,12,12,6,30
75,30,1,30,12,12,6,30
76,30,1,30,12,12,6,30
77,30,1,30,12,12,6,30
78,30,1,30,12,12,6,30
79,30,1,30,12,12,6,30
80,30,1,30,12,12,6,30
81,30,1,30,12,12,6,30
82,30,1,30,12,12,6,30
83,30,1,30,12,12,6,30
84,30,1,30,12,12,6,30
85,30,1,30,12,12,6,30
86,30,1,30,12,12,6,30
87,30,1,30,12,12,6,30
88,30,1,30,12,12,6,30
89,30,2,29,11,12,6,29 1
90,30,2,29,11,12,6,29 1
91,30,2,29,11,12,6,29 1
92,30,2,29,11,12,6,29 1
93,30,2,29,11,12,6,29 1
94,30,2,29,11,12,6,29 1
95,30,1,30,12,12,6,30
96,30,1,30,12,12,6,30
97,30,1,30,12,12,6,30
98,30,1,30,12,12,6,30
99,30,1,30,12,12,6,30
100,30,1,30,12,12,6,30
101,30,1,30,12,12,6,30
