frame,n_molecules,n_aggregates,largest_aggregate,C8,C10,C12,sizes_sorted
1,30,2,29,29,0,0,29 1
2,30,1,30,30,0,0,30
3,30,1,30,30,0,0,30
4,30,2,29,29,0,0,29 1
5,30,5,13,29,0,0,13 9 4 3 1
6,30,1,30,30,0,0,30
7,30,1,30,30,0,0,30
8,30,2,29,29,0,0,29 1
9,30,3,28,28,0,0,28 1 1
10,30,2,29,29,0,0,29 1
11,30,1,30,30,0,0,30
12,30,1,30,30,0,0,30
13,30,1,30,30,0,0,30
14,30,1,30,30,0,0,30
15,30,2,29,29,0,0,29 1
16,30,2,29,29,0,0,29 1
17,30,2,29,29,0,0,29 1
18,30,1,30,30,0,0,30
19,30,1,30,30,0,0,30
20,30,1,30,30,0,0,30
21,30,1,30,30,0,0,30
22,30,1,30,30,0,0,30
23,30,1,30,30,0,0,30
24,30,1,30,30,0,0,30
25,30,1,30,30,0,0,30
26,30,2,29,29,0,0,29 1
27,30,1,30,30,0,0,30
28,30,1,30,30,0,0,30
29,30,1,30,30,0,0,30
30,30,1,30,30,0,0,30
31,30,1,30,30,0,0,30
32,30,1,30,30,0,0,30
33,30,1,30,30,0,0,30
34,30,1,30,30,0,0,30
35,30,1,30,30,0,0,30
36,30,1,30,30,0,0,30
37,30,1,30,30,0,0,30
38,30,1,30,30,0,0,30
39,30,1,30,30,0,0,30
40,30,1,30,30,0,0,30
41,30,1,30,30,0,0,30
42,30,1,30,30,0,0,30
43,30,2,29,29,0,0,29 1
44,30,1,30,30,0,0,30
45,30,2,29,29,0,0,29 1
46,30,1,30,30,0,0,30
47,30,2,29,29,0,0,29 1
48,30,3,28,28,0,0,28 1 1
49,30,3,28,28,0,0,28 1 1
50,30,3,28,28,0,0,28 1 1
51,30,2,29,29,0,0,29 1
52,30,1,30,30,0,0,30
53,30,1,30,30,0,0,30
54,30,1,30,30,0,0,30
55,30,1,30,30,0,0,30
56,30,1,30,30,0,0,30
57,30,1,30,30,0,0,30
58,30,1,30,30,0,0,30
59,30,1,30,30,0,0,30
60,30,2,29,29,0,0,29 1
61,30,1,30,30,0,0,30
62,30,1,30,30,0,0,30
63,30,1,30,30,0,0,30
64,30,1,30,30,0,0,30
65,30,1,30,30,0,0,30
66,30,1,30,30,0,0,30
67,30,1,30,30,0,0,30
68,30,1,30,30,0,0,30
69,30,1,30,30,0,0,30
70,30,1,30,30,0,0,30
71,30,1,30,30,0,0,30
72,30,2,29,29,0,0,29 1
73,30,1,30,30,0,0,30
74,30,1,30,30,0,0,30
75,30,1,30,30,0,0,30
76,30,1,30,30,0,0,30
77,30,1,30,30,0,0,30
78,30,1,30,30,0,0,30
79,30,1,30,30,0,0,30
80,30,1,30,30,0,0,30
81,30,1,30,30,0,0,30
82,30,1,30,30,0,0,30
83,30,1,30,30,0,0,30
84,30,1,30,30,0,0,30
85,30,1,30,30,0,0,30
86,30,1,30,30,0,0,30
87,30,2,29,29,0,0,29 1
88,30,1,30,30,0,0,30
89,30,1,30,30,0,0,30
90,30,1,30,30,0,0,30
91,30,2,29,29,0,0,29 1
92,30,2,29,29,0,0,29 1
93,30,2,29,29,0,0,29 1
94,30,1,30,30,0,0,30
95,30,1,30,30,0,0,30
96,30,1,30,30,0,0,30
97,30,1,30,30,0,0,30
98,30,1,30,30,0,0,30
99,30,1,30,30,0,0,30
100,30,1,30,30,0,0,30
101,30,1,30,30,0,0,30
